,Country,Continent/Region,Year,Code,Expenditure,Regime
1685,Japan,East Asia,1973,JPN,4.042970181,Liberal Democracy
1686,Japan,East Asia,1974,JPN,4.040030003,Liberal Democracy
1687,Japan,East Asia,1975,JPN,4.668990135,Liberal Democracy
1688,Japan,East Asia,1976,JPN,4.850820065,Liberal Democracy
1689,Japan,East Asia,1977,JPN,4.840270042,Liberal Democracy
1690,Japan,East Asia,1978,JPN,4.894410133,Liberal Democracy
1691,Japan,East Asia,1979,JPN,5.057449818,Liberal Democracy
1692,Japan,East Asia,1980,JPN,5.068719864,Liberal Democracy
1693,Japan,East Asia,1981,JPN,5.064400196,Liberal Democracy
1694,Japan,East Asia,1982,JPN,5.046060085,Liberal Democracy
1695,Japan,East Asia,1983,JPN,4.824269772,Liberal Democracy
1696,Japan,East Asia,1987,JPN,5.596519947,Liberal Democracy
1697,Japan,East Asia,1988,JPN,5.556049824,Liberal Democracy
1698,Japan,East Asia,1989,JPN,5.36714983,Liberal Democracy
1699,Japan,East Asia,1993,JPN,3.429039955,Liberal Democracy
1700,Japan,East Asia,1994,JPN,3.635669947,Liberal Democracy
1701,Japan,East Asia,1995,JPN,3.465729952,Liberal Democracy
1702,Japan,East Asia,1998,JPN,3.356029987,Liberal Democracy
1703,Japan,East Asia,1999,JPN,3.433300018,Liberal Democracy
1704,Japan,East Asia,2000,JPN,3.516170025,Liberal Democracy
1705,Japan,East Asia,2001,JPN,3.457070112,Liberal Democracy
1706,Japan,East Asia,2002,JPN,3.46536994,Liberal Democracy
1707,Japan,East Asia,2003,JPN,3.523689985,Liberal Democracy
1708,Japan,East Asia,2004,JPN,3.483069897,Liberal Democracy
1709,Japan,East Asia,2005,JPN,3.368619919,Liberal Democracy
1710,Japan,East Asia,2006,JPN,3.329090118,Liberal Democracy
1711,Japan,East Asia,2007,JPN,3.330940008,Liberal Democracy
1712,Japan,East Asia,2008,JPN,3.319149971,Liberal Democracy
1713,Japan,East Asia,2010,JPN,3.639499903,Liberal Democracy
1714,Japan,East Asia,2011,JPN,3.642580032,Liberal Democracy
1715,Japan,East Asia,2012,JPN,3.692260027,Liberal Democracy
1716,Japan,East Asia,2013,JPN,3.665380001,Liberal Democracy
1717,Japan,East Asia,2014,JPN,3.59059,Liberal Democracy
1718,Japan,East Asia,2016,JPN,3.186180115,Liberal Democracy
1719,Japan,East Asia,2017,JPN,3.182179928,Liberal Democracy
1720,Jordan,The Middle East,1970,JOR,3.63003993,Closed Autocracy
1721,Jordan,The Middle East,1971,JOR,3.297689915,Closed Autocracy
1722,Jordan,The Middle East,1972,JOR,2.387429953,Closed Autocracy
1723,Jordan,The Middle East,1973,JOR,2.486939907,Closed Autocracy
1724,Jordan,The Middle East,1974,JOR,3.557689905,Closed Autocracy
1725,Jordan,The Middle East,1975,JOR,3.763479948,Closed Autocracy
1726,Jordan,The Middle East,1976,JOR,3.533930063,Closed Autocracy
1727,Jordan,The Middle East,1977,JOR,3.679899931,Closed Autocracy
1728,Jordan,The Middle East,1978,JOR,3.681169987,Closed Autocracy
1729,Jordan,The Middle East,1979,JOR,5.081729889,Closed Autocracy
1730,Jordan,The Middle East,1981,JOR,5.167319775,Closed Autocracy
1731,Jordan,The Middle East,1982,JOR,5.089159966,Closed Autocracy
1732,Jordan,The Middle East,1983,JOR,4.927959919,Closed Autocracy
1733,Jordan,The Middle East,1984,JOR,5.936950207,Closed Autocracy
1734,Jordan,The Middle East,1986,JOR,3.284379959,Closed Autocracy
1735,Jordan,The Middle East,1987,JOR,3.296570063,Closed Autocracy
1736,Jordan,The Middle East,1988,JOR,4.047570229,Closed Autocracy
1737,Jordan,The Middle East,1989,JOR,5.643869877,Closed Autocracy
1738,Jordan,The Middle East,1996,JOR,7.373980045,Closed Autocracy
1739,Jordan,The Middle East,1997,JOR,6.276690006,Closed Autocracy
1740,Jordan,The Middle East,1999,JOR,4.875470161,Closed Autocracy
1741,Jordan,The Middle East,2016,JOR,3.514120102,Closed Autocracy
1742,Jordan,The Middle East,2017,JOR,3.284049988,Closed Autocracy
1743,Jordan,The Middle East,2018,JOR,3.034349918,Closed Autocracy
1744,Jordan,The Middle East,2019,JOR,3.072530031,Closed Autocracy
1745,Kazakhstan,Central Asia,1995,KAZ,4.034450054,Electoral Autocracy
1746,Kazakhstan,Central Asia,1996,KAZ,3.923710108,Electoral Autocracy
1747,Kazakhstan,Central Asia,1997,KAZ,4.373429775,Electoral Autocracy
1748,Kazakhstan,Central Asia,1999,KAZ,3.892570019,Electoral Autocracy
1749,Kazakhstan,Central Asia,2000,KAZ,3.25661993,Electoral Autocracy
1750,Kazakhstan,Central Asia,2002,KAZ,3.029700041,Electoral Autocracy
1751,Kazakhstan,Central Asia,2004,KAZ,2.25590992,Electoral Autocracy
1752,Kazakhstan,Central Asia,2005,KAZ,2.263530016,Electoral Autocracy
1753,Kazakhstan,Central Asia,2006,KAZ,2.626780033,Electoral Autocracy
1754,Kazakhstan,Central Asia,2007,KAZ,2.831389904,Electoral Autocracy
1755,Kazakhstan,Central Asia,2008,KAZ,2.589459896,Electoral Autocracy
1756,Kazakhstan,Central Asia,2009,KAZ,3.060719967,Electoral Autocracy
1757,Kazakhstan,Central Asia,2015,KAZ,2.788579941,Electoral Autocracy
1758,Kazakhstan,Central Asia,2016,KAZ,2.978100061,Electoral Autocracy
1759,Kazakhstan,Central Asia,2017,KAZ,2.750819921,Electoral Autocracy
1760,Kazakhstan,Central Asia,2018,KAZ,2.615950108,Electoral Autocracy
1803,Kuwait,The Middle East,1976,KWT,3.115080118,Closed Autocracy
1804,Kuwait,The Middle East,1977,KWT,3.368669987,Closed Autocracy
1805,Kuwait,The Middle East,1978,KWT,4.081850052,Closed Autocracy
1806,Kuwait,The Middle East,1979,KWT,3.428560019,Closed Autocracy
1807,Kuwait,The Middle East,1980,KWT,2.791019917,Closed Autocracy
1813,Kuwait,The Middle East,1986,KWT,5.400839806,Closed Autocracy
1817,Kuwait,The Middle East,2001,KWT,6.585830212,Closed Autocracy
1798,Kuwait,The Middle East,1971,KWT,3.287339926,Electoral Autocracy
1799,Kuwait,The Middle East,1972,KWT,2.815749884,Electoral Autocracy
1800,Kuwait,The Middle East,1973,KWT,3.303689957,Electoral Autocracy
1801,Kuwait,The Middle East,1974,KWT,3.521600008,Electoral Autocracy
1802,Kuwait,The Middle East,1975,KWT,2.135540009,Electoral Autocracy
1808,Kuwait,The Middle East,1981,KWT,2.719140053,Electoral Autocracy
1809,Kuwait,The Middle East,1982,KWT,3.03350997,Electoral Autocracy
1810,Kuwait,The Middle East,1983,KWT,5.090270042,Electoral Autocracy
1811,Kuwait,The Middle East,1984,KWT,5.148880005,Electoral Autocracy
1812,Kuwait,The Middle East,1985,KWT,5.007619858,Electoral Autocracy
1814,Kuwait,The Middle East,1992,KWT,14.19882965,Electoral Autocracy
1815,Kuwait,The Middle East,1996,KWT,5.859610081,Electoral Autocracy
1816,Kuwait,The Middle East,1997,KWT,5.582630157,Electoral Autocracy
1818,Kuwait,The Middle East,2002,KWT,6.551109791,Electoral Autocracy
1819,Kuwait,The Middle East,2004,KWT,5.535069942,Electoral Autocracy
1820,Kuwait,The Middle East,2005,KWT,4.738339901,Electoral Autocracy
1821,Kuwait,The Middle East,2006,KWT,3.759979963,Electoral Autocracy
1822,Kyrgyzstan,Central Asia,1994,KGZ,5.588190079,Closed Autocracy
1823,Kyrgyzstan,Central Asia,1995,KGZ,6.156429768,Electoral Autocracy
1824,Kyrgyzstan,Central Asia,1996,KGZ,4.902609825,Electoral Autocracy
1825,Kyrgyzstan,Central Asia,1998,KGZ,4.919630051,Electoral Autocracy
1826,Kyrgyzstan,Central Asia,1999,KGZ,4.08521986,Electoral Autocracy
1827,Kyrgyzstan,Central Asia,2000,KGZ,3.50838995,Electoral Autocracy
1828,Kyrgyzstan,Central Asia,2001,KGZ,3.854180098,Electoral Autocracy
1829,Kyrgyzstan,Central Asia,2002,KGZ,4.445459843,Electoral Autocracy
1830,Kyrgyzstan,Central Asia,2003,KGZ,4.475419998,Electoral Autocracy
2188,Mexico,North America,1989,MEX,2.282010078,Electoral Autocracy
2189,Mexico,North America,1990,MEX,2.324980021,Electoral Autocracy
2190,Mexico,North America,1991,MEX,2.548000097,Electoral Autocracy
2191,Mexico,North America,1992,MEX,3.005019903,Electoral Autocracy
2192,Mexico,North America,1994,MEX,3.647089958,Electoral Autocracy
2193,Mexico,North America,1995,MEX,3.692559958,Electoral Autocracy
1831,Kyrgyzstan,Central Asia,2004,KGZ,4.622439861,Electoral Autocracy
1832,Kyrgyzstan,Central Asia,2005,KGZ,4.873839855,Electoral Autocracy
1833,Kyrgyzstan,Central Asia,2006,KGZ,5.549860001,Electoral Autocracy
1834,Kyrgyzstan,Central Asia,2007,KGZ,6.467000008,Electoral Autocracy
1835,Kyrgyzstan,Central Asia,2008,KGZ,5.913189888,Electoral Autocracy
1836,Kyrgyzstan,Central Asia,2009,KGZ,6.232679844,Electoral Autocracy
1837,Kyrgyzstan,Central Asia,2010,KGZ,5.818830013,Electoral Autocracy
1838,Kyrgyzstan,Central Asia,2011,KGZ,6.79061985,Electoral Autocracy
1839,Kyrgyzstan,Central Asia,2012,KGZ,7.384230137,Electoral Autocracy
1840,Kyrgyzstan,Central Asia,2013,KGZ,6.780200005,Electoral Autocracy
1841,Kyrgyzstan,Central Asia,2014,KGZ,5.531599998,Electoral Autocracy
1842,Kyrgyzstan,Central Asia,2015,KGZ,5.985509872,Electoral Autocracy
1843,Kyrgyzstan,Central Asia,2016,KGZ,6.586150169,Electoral Autocracy
1844,Kyrgyzstan,Central Asia,2017,KGZ,6.026189804,Electoral Autocracy
1845,Laos,Southeast Asia,1992,LAO,2.334569931,Closed Autocracy
1846,Laos,Southeast Asia,1996,LAO,2.429749966,Closed Autocracy
2407,Nicaragua,Central America,1970,NIC,2.038589954,Electoral Autocracy
2408,Nicaragua,Central America,1971,NIC,2.492029905,Electoral Autocracy
2413,Nicaragua,Central America,1987,NIC,5.351749897,Electoral Autocracy
2420,Nicaragua,Central America,2010,NIC,4.484220028,Electoral Autocracy
2421,Nicaragua,Central America,2014,NIC,4.083280087,Electoral Autocracy
2422,Nicaragua,Central America,2015,NIC,4.078430176,Electoral Autocracy
2423,Nicaragua,Central America,2016,NIC,4.081150055,Electoral Autocracy
2424,Nicaragua,Central America,2017,NIC,4.357679844,Electoral Autocracy
1847,Laos,Southeast Asia,1997,LAO,2.130199909,Closed Autocracy
1848,Laos,Southeast Asia,2000,LAO,1.503690004,Closed Autocracy
1849,Laos,Southeast Asia,2001,LAO,1.990280032,Closed Autocracy
1850,Laos,Southeast Asia,2002,LAO,2.825220108,Closed Autocracy
1851,Laos,Southeast Asia,2004,LAO,2.413000107,Closed Autocracy
1852,Laos,Southeast Asia,2005,LAO,2.414089918,Closed Autocracy
1853,Laos,Southeast Asia,2006,LAO,2.958790064,Closed Autocracy
1854,Laos,Southeast Asia,2007,LAO,3.078419924,Closed Autocracy
1855,Laos,Southeast Asia,2008,LAO,2.27854991,Closed Autocracy
1856,Laos,Southeast Asia,2009,LAO,1.654850006,Closed Autocracy
1857,Laos,Southeast Asia,2010,LAO,1.709789991,Closed Autocracy
1858,Laos,Southeast Asia,2011,LAO,1.708019972,Closed Autocracy
1859,Laos,Southeast Asia,2012,LAO,1.821470022,Closed Autocracy
1860,Laos,Southeast Asia,2013,LAO,3.233809948,Closed Autocracy
1861,Laos,Southeast Asia,2014,LAO,2.937809944,Closed Autocracy
1883,Lebanon,The Middle East,1993,LBN,1.66652,Electoral Autocracy
1884,Lebanon,The Middle East,1994,LBN,1.93125999,Electoral Autocracy
1885,Lebanon,The Middle East,1995,LBN,2.224630117,Electoral Autocracy
1886,Lebanon,The Middle East,1996,LBN,2.084670067,Electoral Autocracy
1887,Lebanon,The Middle East,2001,LBN,2.841480017,Electoral Autocracy
1888,Lebanon,The Middle East,2002,LBN,2.552710056,Electoral Autocracy
1889,Lebanon,The Middle East,2004,LBN,2.640949965,Electoral Autocracy
1890,Lebanon,The Middle East,2005,LBN,2.646189928,Electoral Autocracy
1891,Lebanon,The Middle East,2006,LBN,2.779759884,Electoral Autocracy
1892,Lebanon,The Middle East,2007,LBN,2.583570004,Electoral Autocracy
1893,Lebanon,The Middle East,2008,LBN,2.014790058,Electoral Autocracy
1894,Lebanon,The Middle East,2009,LBN,1.765709996,Electoral Autocracy
1895,Lebanon,The Middle East,2010,LBN,1.613309979,Electoral Democracy
1896,Lebanon,The Middle East,2011,LBN,1.652519941,Electoral Democracy
1897,Lebanon,The Middle East,2012,LBN,2.148089886,Electoral Democracy
115,Australia,Oceania,1990,AUS,4.676340103,Liberal Democracy
116,Australia,Oceania,1991,AUS,4.794789791,Liberal Democracy
2603,Paraguay,South America,1970,PRY,2.105190039,Electoral Autocracy
2604,Paraguay,South America,1971,PRY,2.265439987,Electoral Autocracy
2605,Paraguay,South America,1985,PRY,1.395849943,Electoral Autocracy
2606,Paraguay,South America,1990,PRY,1.040709972,Electoral Autocracy
2620,Peru,South America,1996,PER,3.118799925,Electoral Autocracy
2621,Peru,South America,1998,PER,3.278179884,Electoral Autocracy
2622,Peru,South America,1999,PER,3.44133997,Electoral Autocracy
2623,Peru,South America,2000,PER,3.228029966,Electoral Autocracy
1898,Lebanon,The Middle East,2013,LBN,2.432450056,Electoral Democracy
2034,Malaysia,Southeast Asia,1971,MYS,4.550940037,Closed Autocracy
2035,Malaysia,Southeast Asia,1979,MYS,5.087609768,Electoral Autocracy
2036,Malaysia,Southeast Asia,1980,MYS,5.72619009,Electoral Autocracy
2037,Malaysia,Southeast Asia,1981,MYS,6.696969986,Electoral Autocracy
2038,Malaysia,Southeast Asia,1982,MYS,7.03278017,Electoral Autocracy
2039,Malaysia,Southeast Asia,1984,MYS,5.66629982,Electoral Autocracy
2040,Malaysia,Southeast Asia,1985,MYS,6.11111021,Electoral Autocracy
2041,Malaysia,Southeast Asia,1986,MYS,7.243360043,Electoral Autocracy
2042,Malaysia,Southeast Asia,1987,MYS,6.326000214,Electoral Autocracy
2043,Malaysia,Southeast Asia,1992,MYS,5.111430168,Electoral Autocracy
2044,Malaysia,Southeast Asia,1993,MYS,4.654630184,Electoral Autocracy
262,Belarus,East Europe,1999,BLR,6.000010014,Electoral Autocracy
263,Belarus,East Europe,2000,BLR,6.196619987,Electoral Autocracy
264,Belarus,East Europe,2004,BLR,5.712259769,Electoral Autocracy
265,Belarus,East Europe,2005,BLR,5.871029854,Electoral Autocracy
266,Belarus,East Europe,2006,BLR,6.076960087,Electoral Autocracy
267,Belarus,East Europe,2007,BLR,5.152100086,Electoral Autocracy
268,Belarus,East Europe,2009,BLR,4.368939877,Electoral Autocracy
269,Belarus,East Europe,2010,BLR,5.220039845,Electoral Autocracy
270,Belarus,East Europe,2011,BLR,4.684790134,Electoral Autocracy
271,Belarus,East Europe,2012,BLR,4.959640026,Electoral Autocracy
272,Belarus,East Europe,2013,BLR,5.009419918,Electoral Autocracy
273,Belarus,East Europe,2014,BLR,4.818309784,Electoral Autocracy
274,Belarus,East Europe,2015,BLR,4.787519932,Electoral Autocracy
275,Belarus,East Europe,2016,BLR,4.946549892,Electoral Autocracy
276,Belarus,East Europe,2017,BLR,4.794990063,Electoral Autocracy
2045,Malaysia,Southeast Asia,1994,MYS,4.705289841,Electoral Autocracy
2046,Malaysia,Southeast Asia,1995,MYS,4.342549801,Electoral Autocracy
2047,Malaysia,Southeast Asia,1996,MYS,4.913849831,Electoral Autocracy
2048,Malaysia,Southeast Asia,1997,MYS,4.620379925,Electoral Autocracy
2049,Malaysia,Southeast Asia,1999,MYS,5.686789989,Electoral Autocracy
2050,Malaysia,Southeast Asia,2000,MYS,5.971610069,Electoral Autocracy
2051,Malaysia,Southeast Asia,2001,MYS,7.484469891,Electoral Autocracy
2052,Malaysia,Southeast Asia,2002,MYS,7.657929897,Electoral Autocracy
2053,Malaysia,Southeast Asia,2003,MYS,7.502880096,Electoral Autocracy
2054,Malaysia,Southeast Asia,2004,MYS,5.923890114,Electoral Autocracy
2055,Malaysia,Southeast Asia,2006,MYS,4.485760212,Electoral Autocracy
2056,Malaysia,Southeast Asia,2007,MYS,4.372539997,Electoral Autocracy
2057,Malaysia,Southeast Asia,2008,MYS,3.958519936,Electoral Autocracy
2058,Malaysia,Southeast Asia,2009,MYS,5.974180222,Electoral Autocracy
2059,Malaysia,Southeast Asia,2010,MYS,4.966450214,Electoral Autocracy
2060,Malaysia,Southeast Asia,2011,MYS,5.76293993,Electoral Autocracy
2061,Malaysia,Southeast Asia,2012,MYS,5.739029884,Electoral Autocracy
2062,Malaysia,Southeast Asia,2013,MYS,5.481200218,Electoral Autocracy
2063,Malaysia,Southeast Asia,2014,MYS,5.212639809,Electoral Autocracy
2064,Malaysia,Southeast Asia,2015,MYS,4.894869804,Electoral Autocracy
2065,Malaysia,Southeast Asia,2016,MYS,4.75191021,Electoral Autocracy
2066,Malaysia,Southeast Asia,2017,MYS,4.677569866,Electoral Autocracy
2067,Malaysia,Southeast Asia,2018,MYS,4.481259823,Electoral Autocracy
2068,Malaysia,Southeast Asia,2019,MYS,4.163189888,Electoral Autocracy
2069,Maldives,South Asia,2002,MDV,5.791860104,Closed Autocracy
2070,Maldives,South Asia,2003,MDV,5.324069977,Closed Autocracy
2071,Maldives,South Asia,2004,MDV,4.661600113,Closed Autocracy
2072,Maldives,South Asia,2005,MDV,5.016839981,Electoral Autocracy
2073,Maldives,South Asia,2006,MDV,4.64523983,Electoral Autocracy
2074,Maldives,South Asia,2007,MDV,4.417880058,Electoral Autocracy
2075,Maldives,South Asia,2008,MDV,4.470290184,Electoral Autocracy
2080,Maldives,South Asia,2013,MDV,3.800120115,Electoral Autocracy
2081,Maldives,South Asia,2014,MDV,3.470459938,Electoral Autocracy
2082,Maldives,South Asia,2015,MDV,4.366549969,Electoral Autocracy
2083,Maldives,South Asia,2016,MDV,4.099709988,Electoral Autocracy
2076,Maldives,South Asia,2009,MDV,5.77493,Electoral Democracy
2077,Maldives,South Asia,2010,MDV,4.117469788,Electoral Democracy
2078,Maldives,South Asia,2011,MDV,3.506599903,Electoral Democracy
2079,Maldives,South Asia,2012,MDV,3.76038003,Electoral Democracy
2233,Mongolia,East Asia,1997,MNG,3.948970079,Electoral Democracy
2234,Mongolia,East Asia,1998,MNG,5.493020058,Electoral Democracy
2235,Mongolia,East Asia,1999,MNG,5.145659924,Electoral Democracy
2236,Mongolia,East Asia,2000,MNG,5.550370216,Electoral Democracy
2237,Mongolia,East Asia,2002,MNG,7.210780144,Electoral Democracy
277,Belgium,West Europe,1975,BEL,5.762819767,Liberal Democracy
278,Belgium,West Europe,1976,BEL,5.731040001,Liberal Democracy
2238,Mongolia,East Asia,2004,MNG,4.325729847,Electoral Democracy
2239,Mongolia,East Asia,2007,MNG,4.690130234,Electoral Democracy
2240,Mongolia,East Asia,2009,MNG,5.144849777,Electoral Democracy
2241,Mongolia,East Asia,2010,MNG,4.645100117,Electoral Democracy
2242,Mongolia,East Asia,2011,MNG,4.60902977,Electoral Democracy
2243,Mongolia,East Asia,2012,MNG,5.19520998,Electoral Democracy
2244,Mongolia,East Asia,2013,MNG,4.940770149,Electoral Democracy
2245,Mongolia,East Asia,2014,MNG,4.714849949,Electoral Democracy
2246,Mongolia,East Asia,2015,MNG,4.176990032,Electoral Democracy
2247,Mongolia,East Asia,2016,MNG,5.18061018,Electoral Democracy
2248,Mongolia,East Asia,2017,MNG,4.088590145,Electoral Democracy
2284,Myanmar,Southeast Asia,1972,MMR,2.865099907,Closed Autocracy
2285,Myanmar,Southeast Asia,1973,MMR,3.27380991,Closed Autocracy
2286,Myanmar,Southeast Asia,1975,MMR,1.987390041,Closed Autocracy
2287,Myanmar,Southeast Asia,1976,MMR,1.726189971,Closed Autocracy
2288,Myanmar,Southeast Asia,1977,MMR,1.637820005,Closed Autocracy
2289,Myanmar,Southeast Asia,1978,MMR,1.643659949,Closed Autocracy
2290,Myanmar,Southeast Asia,1995,MMR,1.202479959,Closed Autocracy
2291,Myanmar,Southeast Asia,2011,MMR,0.787440002,Electoral Autocracy
2292,Myanmar,Southeast Asia,2017,MMR,2.087680101,Electoral Autocracy
2293,Myanmar,Southeast Asia,2018,MMR,1.922889948,Electoral Autocracy
2294,Myanmar,Southeast Asia,2019,MMR,1.93208003,Electoral Autocracy
2307,Nepal,South Asia,2002,NPL,3.152839899,Closed Autocracy
2308,Nepal,South Asia,2003,NPL,3.11435008,Closed Autocracy
2309,Nepal,South Asia,2004,NPL,3.171940088,Closed Autocracy
2310,Nepal,South Asia,2005,NPL,3.364639997,Closed Autocracy
2311,Nepal,South Asia,2006,NPL,3.605360031,Closed Autocracy
2312,Nepal,South Asia,2007,NPL,3.517210007,Closed Autocracy
2303,Nepal,South Asia,1998,NPL,2.892879963,Electoral Autocracy
2304,Nepal,South Asia,1999,NPL,2.89331007,Electoral Autocracy
2305,Nepal,South Asia,2000,NPL,2.975150108,Electoral Autocracy
2306,Nepal,South Asia,2001,NPL,3.708379984,Electoral Autocracy
2313,Nepal,South Asia,2008,NPL,3.805170059,Electoral Autocracy
2317,Nepal,South Asia,2012,NPL,3.76116991,Electoral Autocracy
2318,Nepal,South Asia,2013,NPL,3.474649906,Electoral Autocracy
2314,Nepal,South Asia,2009,NPL,4.663760185,Electoral Democracy
2315,Nepal,South Asia,2010,NPL,3.631720066,Electoral Democracy
2316,Nepal,South Asia,2011,NPL,3.842619896,Electoral Democracy
2319,Nepal,South Asia,2014,NPL,3.993020058,Electoral Democracy
2320,Nepal,South Asia,2015,NPL,3.703589916,Electoral Democracy
2321,Nepal,South Asia,2016,NPL,4.440989971,Electoral Democracy
2322,Nepal,South Asia,2017,NPL,5.518370152,Electoral Democracy
2323,Nepal,South Asia,2018,NPL,5.102069855,Electoral Democracy
2504,Oman,The Middle East,1986,OMN,3.79282999,Closed Autocracy
2505,Oman,The Middle East,1987,OMN,3.656260014,Closed Autocracy
2506,Oman,The Middle East,1988,OMN,3.389889956,Closed Autocracy
2507,Oman,The Middle East,1989,OMN,2.978240013,Closed Autocracy
2508,Oman,The Middle East,1990,OMN,2.838920116,Closed Autocracy
2509,Oman,The Middle East,1991,OMN,2.987940073,Closed Autocracy
2510,Oman,The Middle East,1992,OMN,3.122580051,Closed Autocracy
2511,Oman,The Middle East,1993,OMN,3.508219957,Closed Autocracy
2512,Oman,The Middle East,1994,OMN,3.444489956,Closed Autocracy
2513,Oman,The Middle East,1995,OMN,3.413259983,Closed Autocracy
2514,Oman,The Middle East,1996,OMN,3.184520006,Closed Autocracy
2515,Oman,The Middle East,1997,OMN,3.356800079,Closed Autocracy
2516,Oman,The Middle East,1998,OMN,4.112339973,Closed Autocracy
2517,Oman,The Middle East,1999,OMN,4.005949974,Closed Autocracy
2518,Oman,The Middle East,2000,OMN,3.200239897,Closed Autocracy
2519,Oman,The Middle East,2001,OMN,4.020309925,Closed Autocracy
2520,Oman,The Middle East,2002,OMN,4.325069904,Closed Autocracy
2521,Oman,The Middle East,2003,OMN,3.896970034,Closed Autocracy
2522,Oman,The Middle East,2004,OMN,4.028379917,Closed Autocracy
2523,Oman,The Middle East,2005,OMN,3.51722002,Closed Autocracy
2524,Oman,The Middle East,2006,OMN,3.859339952,Closed Autocracy
2525,Oman,The Middle East,2009,OMN,4.187749863,Closed Autocracy
2526,Oman,The Middle East,2013,OMN,4.97010994,Closed Autocracy
2527,Pakistan,South Asia,1971,PAK,1.654219985,Closed Autocracy
2528,Pakistan,South Asia,1972,PAK,1.56882,Closed Autocracy
2529,Pakistan,South Asia,1973,PAK,1.830420017,Closed Autocracy
2530,Pakistan,South Asia,1974,PAK,1.880650043,Closed Autocracy
2531,Pakistan,South Asia,1975,PAK,1.980080009,Closed Autocracy
2532,Pakistan,South Asia,1976,PAK,2.237940073,Closed Autocracy
2534,Pakistan,South Asia,1978,PAK,2.204180002,Closed Autocracy
2535,Pakistan,South Asia,1979,PAK,2.198070049,Closed Autocracy
2536,Pakistan,South Asia,1980,PAK,2.130949974,Closed Autocracy
2537,Pakistan,South Asia,1981,PAK,1.972450018,Closed Autocracy
2538,Pakistan,South Asia,1982,PAK,2.013669968,Closed Autocracy
2539,Pakistan,South Asia,1983,PAK,1.995769978,Closed Autocracy
2540,Pakistan,South Asia,1984,PAK,2.069849968,Closed Autocracy
2553,Pakistan,South Asia,1999,PAK,2.611490011,Closed Autocracy
2554,Pakistan,South Asia,2000,PAK,1.837820053,Closed Autocracy
2533,Pakistan,South Asia,1977,PAK,2.149830103,Electoral Autocracy
2541,Pakistan,South Asia,1985,PAK,2.43543005,Electoral Autocracy
279,Belgium,West Europe,1977,BEL,5.98883009,Liberal Democracy
280,Belgium,West Europe,1978,BEL,5.436339855,Liberal Democracy
281,Belgium,West Europe,1979,BEL,5.380350113,Liberal Democracy
282,Belgium,West Europe,1980,BEL,5.310639858,Liberal Democracy
2542,Pakistan,South Asia,1986,PAK,2.678129911,Electoral Autocracy
283,Belgium,West Europe,1981,BEL,5.435319901,Liberal Democracy
284,Belgium,West Europe,1982,BEL,5.316730022,Liberal Democracy
285,Belgium,West Europe,1986,BEL,4.852290154,Liberal Democracy
286,Belgium,West Europe,1987,BEL,4.577129841,Liberal Democracy
287,Belgium,West Europe,1988,BEL,4.300720215,Liberal Democracy
288,Belgium,West Europe,1993,BEL,5.372310162,Liberal Democracy
289,Belgium,West Europe,1994,BEL,5.411039829,Liberal Democracy
290,Belgium,West Europe,1995,BEL,2.988660097,Liberal Democracy
291,Belgium,West Europe,1996,BEL,3.049479961,Liberal Democracy
292,Belgium,West Europe,2005,BEL,5.795859814,Liberal Democracy
293,Belgium,West Europe,2008,BEL,6.332940102,Liberal Democracy
294,Belgium,West Europe,2009,BEL,6.458099842,Liberal Democracy
295,Belgium,West Europe,2010,BEL,6.442590237,Liberal Democracy
296,Belgium,West Europe,2011,BEL,6.431990147,Liberal Democracy
2543,Pakistan,South Asia,1987,PAK,2.977459908,Electoral Autocracy
3550,Venezuela,South America,2006,VEN,3.669059992,Electoral Autocracy
3551,Venezuela,South America,2007,VEN,3.627320051,Electoral Autocracy
3552,Venezuela,South America,2009,VEN,6.874680042,Electoral Autocracy
2544,Pakistan,South Asia,1989,PAK,2.363820076,Electoral Autocracy
2545,Pakistan,South Asia,1990,PAK,2.51680994,Electoral Autocracy
2546,Pakistan,South Asia,1991,PAK,2.566760063,Electoral Autocracy
2547,Pakistan,South Asia,1992,PAK,2.549679995,Electoral Autocracy
2548,Pakistan,South Asia,1993,PAK,2.386440039,Electoral Autocracy
2549,Pakistan,South Asia,1994,PAK,2.589309931,Electoral Autocracy
37,Algeria,North Africa,2008,DZA,4.33701992,Electoral Autocracy
45,Angola,Southern Africa,2010,AGO,3.421319962,Electoral Autocracy
405,Burkina Faso,West Africa,1994,BFA,3.451100111,Electoral Autocracy
406,Burkina Faso,West Africa,1996,BFA,1.440260053,Electoral Autocracy
415,Burkina Faso,West Africa,2015,BFA,3.67008996,Electoral Autocracy
423,Burundi,Central Africa,1994,BDI,4.565269947,Electoral Autocracy
424,Burundi,Central Africa,1995,BDI,5.015110016,Electoral Autocracy
431,Burundi,Central Africa,2005,BDI,3.632159948,Electoral Autocracy
432,Burundi,Central Africa,2008,BDI,5.192900181,Electoral Autocracy
433,Burundi,Central Africa,2009,BDI,6.171949863,Electoral Autocracy
434,Burundi,Central Africa,2010,BDI,6.775249958,Electoral Autocracy
435,Burundi,Central Africa,2011,BDI,6.319250107,Electoral Autocracy
436,Burundi,Central Africa,2012,BDI,6.167860031,Electoral Autocracy
437,Burundi,Central Africa,2013,BDI,5.995359898,Electoral Autocracy
438,Burundi,Central Africa,2014,BDI,6.784520149,Electoral Autocracy
